Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","08/26/2024","0024","N712JB","DCA","18:30","18:32","2","0","0","0","0","0"
"B6","08/26/2024","0094","N535JB","HPN","10:30","10:24","-6","0","0","0","0","0"
"B6","08/26/2024","0119","N613JB","RIC","12:05","11:57","-8","0","0","0","0","0"
"B6","08/26/2024","0128","N504JB","EWR","13:10","13:17","7","7","0","17","0","0"
"B6","08/26/2024","0131","N535JB","LAX","18:00","17:53","-7","0","0","0","0","0"
"B6","08/26/2024","0133","N637JB","SJU","13:00","12:51","-9","0","0","0","0","0"
"B6","08/26/2024","0184","N2084J","JFK","13:45","13:51","6","6","0","60","0","0"
"B6","08/26/2024","0384","N997JL","JFK","19:00","18:56","-4","0","0","0","0","0"
"B6","08/26/2024","0430","N603JB","BQN","16:40","16:38","-2","0","0","0","0","0"
"B6","08/26/2024","0438","N805JB","BDL","14:55","14:55","0","0","0","0","0","0"
"B6","08/26/2024","0446","N629JB","BDL","09:55","09:54","-1","0","0","0","0","0"
"B6","08/26/2024","0488","N665JB","ORH","09:25","09:26","1","0","0","0","0","0"
"B6","08/26/2024","0500","N827JB","RDU","14:30","14:26","-4","0","0","0","0","0"
"B6","08/26/2024","0552","N505JB","BOS","14:10","15:01","51","0","0","77","0","0"
"B6","08/26/2024","0598","N807JB","LGA","06:20","06:20","0","0","0","0","0","0"
"B6","08/26/2024","0656","N524JB","SYR","18:15","18:08","-7","0","0","0","0","0"
"B6","08/26/2024","0698","N646JB","LGA","10:05","11:50","105","96","0","0","0","0"
"B6","08/26/2024","0767","N613JB","PSE","18:00","17:56","-4","0","0","0","0","0"
"B6","08/26/2024","0770","N623JB","ALB","13:05","13:06","1","1","0","21","0","0"
"B6","08/26/2024","0784","N547JB","JFK","14:45","14:42","-3","0","0","63","0","0"
"B6","08/26/2024","0798","N636JB","LGA","17:40","17:37","-3","0","0","0","0","0"
"B6","08/26/2024","0884","N3062J","JFK","06:00","05:53","-7","0","0","0","0","0"
"B6","08/26/2024","0998","N3139J","LGA","20:30","21:33","63","13","0","28","0","50"
