carrier_code,date_(mm_dd_yyyy),flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,dep_delay_minutes,delay_carrier_minutes,delay_weather_minutes,delay_nas_minutes,delay_security_minutes,delay_late_aircraft_minutes,flight_date
B6,08/26/2024,24,N712JB,DCA,2025-09-09 18:30:00,2025-09-09 18:32:00,2,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,94,N535JB,HPN,2025-09-09 10:30:00,2025-09-09 10:24:00,-6,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,119,N613JB,RIC,2025-09-09 12:05:00,2025-09-09 11:57:00,-8,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,128,N504JB,EWR,2025-09-09 13:10:00,2025-09-09 13:17:00,7,7,0,17,0,0,2024-08-26 00:00:00
B6,08/26/2024,131,N535JB,LAX,2025-09-09 18:00:00,2025-09-09 17:53:00,-7,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,133,N637JB,SJU,2025-09-09 13:00:00,2025-09-09 12:51:00,-9,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,184,N2084J,JFK,2025-09-09 13:45:00,2025-09-09 13:51:00,6,6,0,60,0,0,2024-08-26 00:00:00
B6,08/26/2024,384,N997JL,JFK,2025-09-09 19:00:00,2025-09-09 18:56:00,-4,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,430,N603JB,BQN,2025-09-09 16:40:00,2025-09-09 16:38:00,-2,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,438,N805JB,BDL,2025-09-09 14:55:00,2025-09-09 14:55:00,0,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,446,N629JB,BDL,2025-09-09 09:55:00,2025-09-09 09:54:00,-1,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,488,N665JB,ORH,2025-09-09 09:25:00,2025-09-09 09:26:00,1,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,500,N827JB,RDU,2025-09-09 14:30:00,2025-09-09 14:26:00,-4,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,552,N505JB,BOS,2025-09-09 14:10:00,2025-09-09 15:01:00,51,0,0,77,0,0,2024-08-26 00:00:00
B6,08/26/2024,598,N807JB,LGA,2025-09-09 06:20:00,2025-09-09 06:20:00,0,0,0,0,0,0,2024-08-26 00:00:00
B6,08/26/2024,656,N524JB,SYR,2025-09-09 18:15:00,2025-09-09 18:08:00,-7,0,0,0,0,0,2024-08-26 00:00:00
